entity,perturbation_type,fact_type,true_value,wrong_value,question,correct_statement,false_premise
Abbécourt,location,org_jurisdiction,France,Ifni,"Under the federal laws of Ifni, what regulatory requirements must Abbécourt currently follow?","No, Abbécourt is located in France, not Ifni. It follows France regulations.",The question incorrectly states Ifni instead of the correct value France.
Abbeville,location,org_jurisdiction,France,Bahrain,"Under the federal laws of Bahrain, what regulatory requirements must Abbeville currently follow?","No, Abbeville is located in France, not Bahrain. It follows France regulations.",The question incorrectly states Bahrain instead of the correct value France.
Abbiategrasso,location,org_jurisdiction,Italy,Sri Lanka,"Under the federal laws of Sri Lanka, what regulatory requirements must Abbiategrasso currently follow?","No, Abbiategrasso is located in Italy, not Sri Lanka. It follows Italy regulations.",The question incorrectly states Sri Lanka instead of the correct value Italy.
Abbotsford,location,org_jurisdiction,Canada,Kingdom of the Netherlands,"Under the federal laws of Kingdom of the Netherlands, what regulatory requirements must Abbotsford currently follow?","No, Abbotsford is located in Canada, not Kingdom of the Netherlands. It follows Canada regulations.",The question incorrectly states Kingdom of the Netherlands instead of the correct value Canada.
Abbottabad,location,org_jurisdiction,Pakistan,Roman Republic,"Under the federal laws of Roman Republic, what regulatory requirements must Abbottabad currently follow?","No, Abbottabad is located in Pakistan, not Roman Republic. It follows Pakistan regulations.",The question incorrectly states Roman Republic instead of the correct value Pakistan.
Abdulino,location,org_jurisdiction,Russia,Assyrian Empire,"Under the federal laws of Assyrian Empire, what regulatory requirements must Abdulino currently follow?","No, Abdulino is located in Russia, not Assyrian Empire. It follows Russia regulations.",The question incorrectly states Assyrian Empire instead of the correct value Russia.
Abéché,location,org_jurisdiction,Chad,Botswana,"Under the federal laws of Botswana, what regulatory requirements must Abéché currently follow?","No, Abéché is located in Chad, not Botswana. It follows Chad regulations.",The question incorrectly states Botswana instead of the correct value Chad.
Abejar,location,org_jurisdiction,Spain,San Marino,"Under the federal laws of San Marino, what regulatory requirements must Abejar currently follow?","No, Abejar is located in Spain, not San Marino. It follows Spain regulations.",The question incorrectly states San Marino instead of the correct value Spain.
Abel Prize,location,org_jurisdiction,Norway,Pakistan,"Under the federal laws of Pakistan, what regulatory requirements must Abel Prize currently follow?","No, Abel Prize is located in Norway, not Pakistan. It follows Norway regulations.",The question incorrectly states Pakistan instead of the correct value Norway.
Abeno Harukas,location,org_jurisdiction,Japan,Principality of Serbia,"Under the federal laws of Principality of Serbia, what regulatory requirements must Abeno Harukas currently follow?","No, Abeno Harukas is located in Japan, not Principality of Serbia. It follows Japan regulations.",The question incorrectly states Principality of Serbia instead of the correct value Japan.
Abeokuta,location,org_jurisdiction,Nigeria,County of Württemberg,"Under the federal laws of County of Württemberg, what regulatory requirements must Abeokuta currently follow?","No, Abeokuta is located in Nigeria, not County of Württemberg. It follows Nigeria regulations.",The question incorrectly states County of Württemberg instead of the correct value Nigeria.
Aberdeen,location,org_jurisdiction,United Kingdom,Seventeen Provinces,"Under the federal laws of Seventeen Provinces, what regulatory requirements must Aberdeen currently follow?","No, Aberdeen is located in United Kingdom, not Seventeen Provinces. It follows United Kingdom regulations.",The question incorrectly states Seventeen Provinces instead of the correct value United Kingdom.
Aberdeen F.C.,location,org_jurisdiction,United Kingdom,Byzantine Empire,"Under the federal laws of Byzantine Empire, what regulatory requirements must Aberdeen F.C. currently follow?","No, Aberdeen F.C. is located in United Kingdom, not Byzantine Empire. It follows United Kingdom regulations.",The question incorrectly states Byzantine Empire instead of the correct value United Kingdom.
Aberdeenshire,location,org_jurisdiction,United Kingdom,Captaincy General of Puerto Rico,"Under the federal laws of Captaincy General of Puerto Rico, what regulatory requirements must Aberdeenshire currently follow?","No, Aberdeenshire is located in United Kingdom, not Captaincy General of Puerto Rico. It follows United Kingdom regulations.",The question incorrectly states Captaincy General of Puerto Rico instead of the correct value United Kingdom.
Aberystwyth,location,org_jurisdiction,United Kingdom,Lands of the Bohemian Crown (1348–1526),"Under the federal laws of Lands of the Bohemian Crown (1348–1526), what regulatory requirements must Aberystwyth currently follow?","No, Aberystwyth is located in United Kingdom, not Lands of the Bohemian Crown (1348–1526). It follows United Kingdom regulations.",The question incorrectly states Lands of the Bohemian Crown (1348–1526) instead of the correct value United Kingdom.
Abetone,location,org_jurisdiction,Italy,Empire of Brazil,"Under the federal laws of Empire of Brazil, what regulatory requirements must Abetone currently follow?","No, Abetone is located in Italy, not Empire of Brazil. It follows Italy regulations.",The question incorrectly states Empire of Brazil instead of the correct value Italy.
Abha,location,org_jurisdiction,Saudi Arabia,British Indian Ocean Territory,"Under the federal laws of British Indian Ocean Territory, what regulatory requirements must Abha currently follow?","No, Abha is located in Saudi Arabia, not British Indian Ocean Territory. It follows Saudi Arabia regulations.",The question incorrectly states British Indian Ocean Territory instead of the correct value Saudi Arabia.
Abia State,location,org_jurisdiction,Nigeria,Duchy of Burgundy,"Under the federal laws of Duchy of Burgundy, what regulatory requirements must Abia State currently follow?","No, Abia State is located in Nigeria, not Duchy of Burgundy. It follows Nigeria regulations.",The question incorrectly states Duchy of Burgundy instead of the correct value Nigeria.
Abidjan,location,org_jurisdiction,Ivory Coast,Kingdom of Hanover,"Under the federal laws of Kingdom of Hanover, what regulatory requirements must Abidjan currently follow?","No, Abidjan is located in Ivory Coast, not Kingdom of Hanover. It follows Ivory Coast regulations.",The question incorrectly states Kingdom of Hanover instead of the correct value Ivory Coast.
Abiko,location,org_jurisdiction,Japan,Vorkuta,"Under the federal laws of Vorkuta, what regulatory requirements must Abiko currently follow?","No, Abiko is located in Japan, not Vorkuta. It follows Japan regulations.",The question incorrectly states Vorkuta instead of the correct value Japan.
Abilene,location,org_jurisdiction,United States,Tibet Autonomous Region,"Under the federal laws of Tibet Autonomous Region, what regulatory requirements must Abilene currently follow?","No, Abilene is located in United States, not Tibet Autonomous Region. It follows United States regulations.",The question incorrectly states Tibet Autonomous Region instead of the correct value United States.
Abinsk,location,org_jurisdiction,Russia,Later Three Kingdoms,"Under the federal laws of Later Three Kingdoms, what regulatory requirements must Abinsk currently follow?","No, Abinsk is located in Russia, not Later Three Kingdoms. It follows Russia regulations.",The question incorrectly states Later Three Kingdoms instead of the correct value Russia.
Abkhaz,location,org_jurisdiction,Georgia,New Zealand,"Under the federal laws of New Zealand, what regulatory requirements must Abkhaz currently follow?","No, Abkhaz is located in Georgia, not New Zealand. It follows Georgia regulations.",The question incorrectly states New Zealand instead of the correct value Georgia.
Abkhazians,location,org_jurisdiction,Adjara,Pryazovia,"Under the federal laws of Pryazovia, what regulatory requirements must Abkhazians currently follow?","No, Abkhazians is located in Adjara, not Pryazovia. It follows Adjara regulations.",The question incorrectly states Pryazovia instead of the correct value Adjara.
Abomey,location,org_jurisdiction,Benin,Saint Pierre and Miquelon,"Under the federal laws of Saint Pierre and Miquelon, what regulatory requirements must Abomey currently follow?","No, Abomey is located in Benin, not Saint Pierre and Miquelon. It follows Benin regulations.",The question incorrectly states Saint Pierre and Miquelon instead of the correct value Benin.
Aboriginal Australians,location,org_jurisdiction,Australia,British Virgin Islands,"Under the federal laws of British Virgin Islands, what regulatory requirements must Aboriginal Australians currently follow?","No, Aboriginal Australians is located in Australia, not British Virgin Islands. It follows Australia regulations.",The question incorrectly states British Virgin Islands instead of the correct value Australia.
Abovyan,location,org_jurisdiction,Armenia,Cherkessk,"Under the federal laws of Cherkessk, what regulatory requirements must Abovyan currently follow?","No, Abovyan is located in Armenia, not Cherkessk. It follows Armenia regulations.",The question incorrectly states Cherkessk instead of the correct value Armenia.
Abraj Al Bait,location,org_jurisdiction,Saudi Arabia,Central African Republic,"Under the federal laws of Central African Republic, what regulatory requirements must Abraj Al Bait currently follow?","No, Abraj Al Bait is located in Saudi Arabia, not Central African Republic. It follows Saudi Arabia regulations.",The question incorrectly states Central African Republic instead of the correct value Saudi Arabia.
Abrest,location,org_jurisdiction,France,Chile,"Under the federal laws of Chile, what regulatory requirements must Abrest currently follow?","No, Abrest is located in France, not Chile. It follows France regulations.",The question incorrectly states Chile instead of the correct value France.
Abriola,location,org_jurisdiction,Italy,Puerto Rico,"Under the federal laws of Puerto Rico, what regulatory requirements must Abriola currently follow?","No, Abriola is located in Italy, not Puerto Rico. It follows Italy regulations.",The question incorrectly states Puerto Rico instead of the correct value Italy.
Abruzzo,location,org_jurisdiction,Italy,Chinese Soviet Republic,"Under the federal laws of Chinese Soviet Republic, what regulatory requirements must Abruzzo currently follow?","No, Abruzzo is located in Italy, not Chinese Soviet Republic. It follows Italy regulations.",The question incorrectly states Chinese Soviet Republic instead of the correct value Italy.
ABS-CBN Corporation,location,org_jurisdiction,Philippines,Nabataean kingdom,"Under the federal laws of Nabataean kingdom, what regulatory requirements must ABS-CBN Corporation currently follow?","No, ABS-CBN Corporation is located in Philippines, not Nabataean kingdom. It follows Philippines regulations.",The question incorrectly states Nabataean kingdom instead of the correct value Philippines.
Absheron District,location,org_jurisdiction,Azerbaijan,Duchy of Normandy,"Under the federal laws of Duchy of Normandy, what regulatory requirements must Absheron District currently follow?","No, Absheron District is located in Azerbaijan, not Duchy of Normandy. It follows Azerbaijan regulations.",The question incorrectly states Duchy of Normandy instead of the correct value Azerbaijan.
Absheron peninsula,location,org_jurisdiction,Azerbaijan,Tsardom of Russia,"Under the federal laws of Tsardom of Russia, what regulatory requirements must Absheron peninsula currently follow?","No, Absheron peninsula is located in Azerbaijan, not Tsardom of Russia. It follows Azerbaijan regulations.",The question incorrectly states Tsardom of Russia instead of the correct value Azerbaijan.
Abu Dhabi,location,org_jurisdiction,United Arab Emirates,Bosnia and Herzegovina,"Under the federal laws of Bosnia and Herzegovina, what regulatory requirements must Abu Dhabi currently follow?","No, Abu Dhabi is located in United Arab Emirates, not Bosnia and Herzegovina. It follows United Arab Emirates regulations.",The question incorrectly states Bosnia and Herzegovina instead of the correct value United Arab Emirates.
Abuja,location,org_jurisdiction,Nigeria,Wales,"Under the federal laws of Wales, what regulatory requirements must Abuja currently follow?","No, Abuja is located in Nigeria, not Wales. It follows Nigeria regulations.",The question incorrectly states Wales instead of the correct value Nigeria.
Abu Mena,location,org_jurisdiction,Egypt,Uganda,"Under the federal laws of Uganda, what regulatory requirements must Abu Mena currently follow?","No, Abu Mena is located in Egypt, not Uganda. It follows Egypt regulations.",The question incorrectly states Uganda instead of the correct value Egypt.
Abu Simbel,location,org_jurisdiction,Egypt,Uganda,"Under the federal laws of Uganda, what regulatory requirements must Abu Simbel currently follow?","No, Abu Simbel is located in Egypt, not Uganda. It follows Egypt regulations.",The question incorrectly states Uganda instead of the correct value Egypt.
AB Volvo,location,org_jurisdiction,Sweden,Liberia,"Under the federal laws of Liberia, what regulatory requirements must AB Volvo currently follow?","No, AB Volvo is located in Sweden, not Liberia. It follows Sweden regulations.",The question incorrectly states Liberia instead of the correct value Sweden.
Abydos,location,org_jurisdiction,Egypt,Djibouti,"Under the federal laws of Djibouti, what regulatory requirements must Abydos currently follow?","No, Abydos is located in Egypt, not Djibouti. It follows Egypt regulations.",The question incorrectly states Djibouti instead of the correct value Egypt.
.ac,location,org_jurisdiction,United Kingdom,Parthian Empire,"Under the federal laws of Parthian Empire, what regulatory requirements must .ac currently follow?","No, .ac is located in United Kingdom, not Parthian Empire. It follows United Kingdom regulations.",The question incorrectly states Parthian Empire instead of the correct value United Kingdom.
Académie Française,location,org_jurisdiction,France,Medo-Persia,"Under the federal laws of Medo-Persia, what regulatory requirements must Académie Française currently follow?","No, Académie Française is located in France, not Medo-Persia. It follows France regulations.",The question incorrectly states Medo-Persia instead of the correct value France.
Academy Award for Best Actor,location,org_jurisdiction,United States,Portuguese India,"Under the federal laws of Portuguese India, what regulatory requirements must Academy Award for Best Actor currently follow?","No, Academy Award for Best Actor is located in United States, not Portuguese India. It follows United States regulations.",The question incorrectly states Portuguese India instead of the correct value United States.
Academy Award for Best Actress,location,org_jurisdiction,United States,Belgian Empire,"Under the federal laws of Belgian Empire, what regulatory requirements must Academy Award for Best Actress currently follow?","No, Academy Award for Best Actress is located in United States, not Belgian Empire. It follows United States regulations.",The question incorrectly states Belgian Empire instead of the correct value United States.
Academy Award for Best Animated Feature,location,org_jurisdiction,United States,Kingdom of Naples,"Under the federal laws of Kingdom of Naples, what regulatory requirements must Academy Award for Best Animated Feature currently follow?","No, Academy Award for Best Animated Feature is located in United States, not Kingdom of Naples. It follows United States regulations.",The question incorrectly states Kingdom of Naples instead of the correct value United States.
Academy Award for Best Cinematography,location,org_jurisdiction,United States,Yishuv,"Under the federal laws of Yishuv, what regulatory requirements must Academy Award for Best Cinematography currently follow?","No, Academy Award for Best Cinematography is located in United States, not Yishuv. It follows United States regulations.",The question incorrectly states Yishuv instead of the correct value United States.
Academy Award for Best Director,location,org_jurisdiction,United States,Korean Empire,"Under the federal laws of Korean Empire, what regulatory requirements must Academy Award for Best Director currently follow?","No, Academy Award for Best Director is located in United States, not Korean Empire. It follows United States regulations.",The question incorrectly states Korean Empire instead of the correct value United States.
Academy Award for Best International Feature Film,location,org_jurisdiction,United States,Mauritania,"Under the federal laws of Mauritania, what regulatory requirements must Academy Award for Best International Feature Film currently follow?","No, Academy Award for Best International Feature Film is located in United States, not Mauritania. It follows United States regulations.",The question incorrectly states Mauritania instead of the correct value United States.
Academy Award for Best Picture,location,org_jurisdiction,United States,Costa Rica,"Under the federal laws of Costa Rica, what regulatory requirements must Academy Award for Best Picture currently follow?","No, Academy Award for Best Picture is located in United States, not Costa Rica. It follows United States regulations.",The question incorrectly states Costa Rica instead of the correct value United States.
Academy Award for Best Supporting Actor,location,org_jurisdiction,United States,Ust-Dzhegutinsky District,"Under the federal laws of Ust-Dzhegutinsky District, what regulatory requirements must Academy Award for Best Supporting Actor currently follow?","No, Academy Award for Best Supporting Actor is located in United States, not Ust-Dzhegutinsky District. It follows United States regulations.",The question incorrectly states Ust-Dzhegutinsky District instead of the correct value United States.
Academy Award for Best Supporting Actress,location,org_jurisdiction,United States,Somaliland,"Under the federal laws of Somaliland, what regulatory requirements must Academy Award for Best Supporting Actress currently follow?","No, Academy Award for Best Supporting Actress is located in United States, not Somaliland. It follows United States regulations.",The question incorrectly states Somaliland instead of the correct value United States.
"Academy Award for Best Writing, Adapted Screenplay",location,org_jurisdiction,United States,Hatti,"Under the federal laws of Hatti, what regulatory requirements must Academy Award for Best Writing, Adapted Screenplay currently follow?","No, Academy Award for Best Writing, Adapted Screenplay is located in United States, not Hatti. It follows United States regulations.",The question incorrectly states Hatti instead of the correct value United States.
"Academy Award for Best Writing, Original Screenplay",location,org_jurisdiction,United States,Ethiopia,"Under the federal laws of Ethiopia, what regulatory requirements must Academy Award for Best Writing, Original Screenplay currently follow?","No, Academy Award for Best Writing, Original Screenplay is located in United States, not Ethiopia. It follows United States regulations.",The question incorrectly states Ethiopia instead of the correct value United States.
Academy Awards,location,org_jurisdiction,United States,Sasanian Empire,"Under the federal laws of Sasanian Empire, what regulatory requirements must Academy Awards currently follow?","No, Academy Awards is located in United States, not Sasanian Empire. It follows United States regulations.",The question incorrectly states Sasanian Empire instead of the correct value United States.
Academy of Motion Picture Arts and Sciences,location,org_jurisdiction,United States,Independent State of Croatia,"Under the federal laws of Independent State of Croatia, what regulatory requirements must Academy of Motion Picture Arts and Sciences currently follow?","No, Academy of Motion Picture Arts and Sciences is located in United States, not Independent State of Croatia. It follows United States regulations.",The question incorrectly states Independent State of Croatia instead of the correct value United States.
Academy of the Hebrew Language,location,org_jurisdiction,Israel,County of Württemberg,"Under the federal laws of County of Württemberg, what regulatory requirements must Academy of the Hebrew Language currently follow?","No, Academy of the Hebrew Language is located in Israel, not County of Württemberg. It follows Israel regulations.",The question incorrectly states County of Württemberg instead of the correct value Israel.
Acadia,location,org_jurisdiction,Canada,Marshall Islands,"Under the federal laws of Marshall Islands, what regulatory requirements must Acadia currently follow?","No, Acadia is located in Canada, not Marshall Islands. It follows Canada regulations.",The question incorrectly states Marshall Islands instead of the correct value Canada.
Acapulco de Juárez,location,org_jurisdiction,Mexico,Moscow,"Under the federal laws of Moscow, what regulatory requirements must Acapulco de Juárez currently follow?","No, Acapulco de Juárez is located in Mexico, not Moscow. It follows Mexico regulations.",The question incorrectly states Moscow instead of the correct value Mexico.
Acate,location,org_jurisdiction,Italy,Cyprus,"Under the federal laws of Cyprus, what regulatory requirements must Acate currently follow?","No, Acate is located in Italy, not Cyprus. It follows Italy regulations.",The question incorrectly states Cyprus instead of the correct value Italy.
Acceglio,location,org_jurisdiction,Italy,Kingdom of Iceland,"Under the federal laws of Kingdom of Iceland, what regulatory requirements must Acceglio currently follow?","No, Acceglio is located in Italy, not Kingdom of Iceland. It follows Italy regulations.",The question incorrectly states Kingdom of Iceland instead of the correct value Italy.
AC ChievoVerona,location,org_jurisdiction,Italy,United States,"Under the federal laws of United States, what regulatory requirements must AC ChievoVerona currently follow?","No, AC ChievoVerona is located in Italy, not United States. It follows Italy regulations.",The question incorrectly states United States instead of the correct value Italy.
Acciano,location,org_jurisdiction,Italy,Indonesia,"Under the federal laws of Indonesia, what regulatory requirements must Acciano currently follow?","No, Acciano is located in Italy, not Indonesia. It follows Italy regulations.",The question incorrectly states Indonesia instead of the correct value Italy.
Accra,location,org_jurisdiction,Ghana,Prussia,"Under the federal laws of Prussia, what regulatory requirements must Accra currently follow?","No, Accra is located in Ghana, not Prussia. It follows Ghana regulations.",The question incorrectly states Prussia instead of the correct value Ghana.
Accumoli,location,org_jurisdiction,Italy,Tuvalu,"Under the federal laws of Tuvalu, what regulatory requirements must Accumoli currently follow?","No, Accumoli is located in Italy, not Tuvalu. It follows Italy regulations.",The question incorrectly states Tuvalu instead of the correct value Italy.
Aceh,location,org_jurisdiction,Indonesia,Tunisia,"Under the federal laws of Tunisia, what regulatory requirements must Aceh currently follow?","No, Aceh is located in Indonesia, not Tunisia. It follows Indonesia regulations.",The question incorrectly states Tunisia instead of the correct value Indonesia.
Acehnese,location,org_jurisdiction,Indonesia,Argentina,"Under the federal laws of Argentina, what regulatory requirements must Acehnese currently follow?","No, Acehnese is located in Indonesia, not Argentina. It follows Indonesia regulations.",The question incorrectly states Argentina instead of the correct value Indonesia.
Acer,location,org_jurisdiction,Taiwan,Kingdom of Bulgaria,"Under the federal laws of Kingdom of Bulgaria, what regulatory requirements must Acer currently follow?","No, Acer is located in Taiwan, not Kingdom of Bulgaria. It follows Taiwan regulations.",The question incorrectly states Kingdom of Bulgaria instead of the correct value Taiwan.
Acerenza,location,org_jurisdiction,Italy,Aruba,"Under the federal laws of Aruba, what regulatory requirements must Acerenza currently follow?","No, Acerenza is located in Italy, not Aruba. It follows Italy regulations.",The question incorrectly states Aruba instead of the correct value Italy.
Acerno,location,org_jurisdiction,Italy,Georgia,"Under the federal laws of Georgia, what regulatory requirements must Acerno currently follow?","No, Acerno is located in Italy, not Georgia. It follows Italy regulations.",The question incorrectly states Georgia instead of the correct value Italy.
Acerra,location,org_jurisdiction,Italy,Kingdom of Great Britain,"Under the federal laws of Kingdom of Great Britain, what regulatory requirements must Acerra currently follow?","No, Acerra is located in Italy, not Kingdom of Great Britain. It follows Italy regulations.",The question incorrectly states Kingdom of Great Britain instead of the correct value Italy.
ACF Fiorentina,location,org_jurisdiction,Italy,Konbaung dynasty,"Under the federal laws of Konbaung dynasty, what regulatory requirements must ACF Fiorentina currently follow?","No, ACF Fiorentina is located in Italy, not Konbaung dynasty. It follows Italy regulations.",The question incorrectly states Konbaung dynasty instead of the correct value Italy.
Achaea,location,org_jurisdiction,Ancient Rome,Madagascar,"Under the federal laws of Madagascar, what regulatory requirements must Achaea currently follow?","No, Achaea is located in Ancient Rome, not Madagascar. It follows Ancient Rome regulations.",The question incorrectly states Madagascar instead of the correct value Ancient Rome.
Achaea Regional Unit,location,org_jurisdiction,Greece,Mauritania,"Under the federal laws of Mauritania, what regulatory requirements must Achaea Regional Unit currently follow?","No, Achaea Regional Unit is located in Greece, not Mauritania. It follows Greece regulations.",The question incorrectly states Mauritania instead of the correct value Greece.
Achaemenid Empire,location,org_jurisdiction,Medo-Persia,Afghanistan,"Under the federal laws of Afghanistan, what regulatory requirements must Achaemenid Empire currently follow?","No, Achaemenid Empire is located in Medo-Persia, not Afghanistan. It follows Medo-Persia regulations.",The question incorrectly states Afghanistan instead of the correct value Medo-Persia.
Achern,location,org_jurisdiction,Germany,German colonial empire,"Under the federal laws of German colonial empire, what regulatory requirements must Achern currently follow?","No, Achern is located in Germany, not German colonial empire. It follows Germany regulations.",The question incorrectly states German colonial empire instead of the correct value Germany.
Acheron,location,org_jurisdiction,Greece,El Salvador,"Under the federal laws of El Salvador, what regulatory requirements must Acheron currently follow?","No, Acheron is located in Greece, not El Salvador. It follows Greece regulations.",The question incorrectly states El Salvador instead of the correct value Greece.
Achery,location,org_jurisdiction,France,Umayyad Caliphate,"Under the federal laws of Umayyad Caliphate, what regulatory requirements must Achery currently follow?","No, Achery is located in France, not Umayyad Caliphate. It follows France regulations.",The question incorrectly states Umayyad Caliphate instead of the correct value France.
Achicourt,location,org_jurisdiction,France,Pahlavi Iran,"Under the federal laws of Pahlavi Iran, what regulatory requirements must Achicourt currently follow?","No, Achicourt is located in France, not Pahlavi Iran. It follows France regulations.",The question incorrectly states Pahlavi Iran instead of the correct value France.
Achinsk,location,org_jurisdiction,Russia,Brunswick-Lüneburg,"Under the federal laws of Brunswick-Lüneburg, what regulatory requirements must Achinsk currently follow?","No, Achinsk is located in Russia, not Brunswick-Lüneburg. It follows Russia regulations.",The question incorrectly states Brunswick-Lüneburg instead of the correct value Russia.
Aci Bonaccorsi,location,org_jurisdiction,Italy,Electorate of Bavaria,"Under the federal laws of Electorate of Bavaria, what regulatory requirements must Aci Bonaccorsi currently follow?","No, Aci Bonaccorsi is located in Italy, not Electorate of Bavaria. It follows Italy regulations.",The question incorrectly states Electorate of Bavaria instead of the correct value Italy.
Aci Castello,location,org_jurisdiction,Italy,Assyrian Empire,"Under the federal laws of Assyrian Empire, what regulatory requirements must Aci Castello currently follow?","No, Aci Castello is located in Italy, not Assyrian Empire. It follows Italy regulations.",The question incorrectly states Assyrian Empire instead of the correct value Italy.
Aci Catena,location,org_jurisdiction,Italy,Chechnya,"Under the federal laws of Chechnya, what regulatory requirements must Aci Catena currently follow?","No, Aci Catena is located in Italy, not Chechnya. It follows Italy regulations.",The question incorrectly states Chechnya instead of the correct value Italy.
Acireale,location,org_jurisdiction,Italy,Syria,"Under the federal laws of Syria, what regulatory requirements must Acireale currently follow?","No, Acireale is located in Italy, not Syria. It follows Italy regulations.",The question incorrectly states Syria instead of the correct value Italy.
Aci Sant'Antonio,location,org_jurisdiction,Italy,Holy Roman Empire,"Under the federal laws of Holy Roman Empire, what regulatory requirements must Aci Sant'Antonio currently follow?","No, Aci Sant'Antonio is located in Italy, not Holy Roman Empire. It follows Italy regulations.",The question incorrectly states Holy Roman Empire instead of the correct value Italy.
AC Milan,location,org_jurisdiction,Italy,Neo-Assyrian Empire,"Under the federal laws of Neo-Assyrian Empire, what regulatory requirements must AC Milan currently follow?","No, AC Milan is located in Italy, not Neo-Assyrian Empire. It follows Italy regulations.",The question incorrectly states Neo-Assyrian Empire instead of the correct value Italy.
Aconcagua,location,org_jurisdiction,Argentina,Polish–Lithuanian Commonwealth,"Under the federal laws of Polish–Lithuanian Commonwealth, what regulatory requirements must Aconcagua currently follow?","No, Aconcagua is located in Argentina, not Polish–Lithuanian Commonwealth. It follows Argentina regulations.",The question incorrectly states Polish–Lithuanian Commonwealth instead of the correct value Argentina.
A Coruña,location,org_jurisdiction,Spain,Reunited Kingdom,"Under the federal laws of Reunited Kingdom, what regulatory requirements must A Coruña currently follow?","No, A Coruña is located in Spain, not Reunited Kingdom. It follows Spain regulations.",The question incorrectly states Reunited Kingdom instead of the correct value Spain.
A Coruña Province,location,org_jurisdiction,Spain,Malawi,"Under the federal laws of Malawi, what regulatory requirements must A Coruña Province currently follow?","No, A Coruña Province is located in Spain, not Malawi. It follows Spain regulations.",The question incorrectly states Malawi instead of the correct value Spain.
Acquafondata,location,org_jurisdiction,Italy,Faroe Islands,"Under the federal laws of Faroe Islands, what regulatory requirements must Acquafondata currently follow?","No, Acquafondata is located in Italy, not Faroe Islands. It follows Italy regulations.",The question incorrectly states Faroe Islands instead of the correct value Italy.
Acquaformosa,location,org_jurisdiction,Italy,Mughal Empire,"Under the federal laws of Mughal Empire, what regulatory requirements must Acquaformosa currently follow?","No, Acquaformosa is located in Italy, not Mughal Empire. It follows Italy regulations.",The question incorrectly states Mughal Empire instead of the correct value Italy.
Acquafredda,location,org_jurisdiction,Italy,Kosovo,"Under the federal laws of Kosovo, what regulatory requirements must Acquafredda currently follow?","No, Acquafredda is located in Italy, not Kosovo. It follows Italy regulations.",The question incorrectly states Kosovo instead of the correct value Italy.
Acquanegra sul Chiese,location,org_jurisdiction,Italy,Latvia,"Under the federal laws of Latvia, what regulatory requirements must Acquanegra sul Chiese currently follow?","No, Acquanegra sul Chiese is located in Italy, not Latvia. It follows Italy regulations.",The question incorrectly states Latvia instead of the correct value Italy.
Acquapendente,location,org_jurisdiction,Italy,United Arab Emirates,"Under the federal laws of United Arab Emirates, what regulatory requirements must Acquapendente currently follow?","No, Acquapendente is located in Italy, not United Arab Emirates. It follows Italy regulations.",The question incorrectly states United Arab Emirates instead of the correct value Italy.
Acquaro,location,org_jurisdiction,Italy,Yamalsky District,"Under the federal laws of Yamalsky District, what regulatory requirements must Acquaro currently follow?","No, Acquaro is located in Italy, not Yamalsky District. It follows Italy regulations.",The question incorrectly states Yamalsky District instead of the correct value Italy.
Acquasparta,location,org_jurisdiction,Italy,Cayman Islands,"Under the federal laws of Cayman Islands, what regulatory requirements must Acquasparta currently follow?","No, Acquasparta is located in Italy, not Cayman Islands. It follows Italy regulations.",The question incorrectly states Cayman Islands instead of the correct value Italy.
Acquaviva,location,org_jurisdiction,San Marino,Belgium,"Under the federal laws of Belgium, what regulatory requirements must Acquaviva currently follow?","No, Acquaviva is located in San Marino, not Belgium. It follows San Marino regulations.",The question incorrectly states Belgium instead of the correct value San Marino.
Acquaviva Collecroce,location,org_jurisdiction,Italy,European Union,"Under the federal laws of European Union, what regulatory requirements must Acquaviva Collecroce currently follow?","No, Acquaviva Collecroce is located in Italy, not European Union. It follows Italy regulations.",The question incorrectly states European Union instead of the correct value Italy.
Acquaviva delle Fonti,location,org_jurisdiction,Italy,Faroe Islands,"Under the federal laws of Faroe Islands, what regulatory requirements must Acquaviva delle Fonti currently follow?","No, Acquaviva delle Fonti is located in Italy, not Faroe Islands. It follows Italy regulations.",The question incorrectly states Faroe Islands instead of the correct value Italy.
Acquaviva d'Isernia,location,org_jurisdiction,Italy,Bavaria,"Under the federal laws of Bavaria, what regulatory requirements must Acquaviva d'Isernia currently follow?","No, Acquaviva d'Isernia is located in Italy, not Bavaria. It follows Italy regulations.",The question incorrectly states Bavaria instead of the correct value Italy.
Acquaviva Platani,location,org_jurisdiction,Italy,Captaincy General of the Philippines,"Under the federal laws of Captaincy General of the Philippines, what regulatory requirements must Acquaviva Platani currently follow?","No, Acquaviva Platani is located in Italy, not Captaincy General of the Philippines. It follows Italy regulations.",The question incorrectly states Captaincy General of the Philippines instead of the correct value Italy.
Acquedolci,location,org_jurisdiction,Italy,Kingdom of France,"Under the federal laws of Kingdom of France, what regulatory requirements must Acquedolci currently follow?","No, Acquedolci is located in Italy, not Kingdom of France. It follows Italy regulations.",The question incorrectly states Kingdom of France instead of the correct value Italy.
Acqui Terme,location,org_jurisdiction,Italy,Republic of Crimea,"Under the federal laws of Republic of Crimea, what regulatory requirements must Acqui Terme currently follow?","No, Acqui Terme is located in Italy, not Republic of Crimea. It follows Italy regulations.",The question incorrectly states Republic of Crimea instead of the correct value Italy.
