domain,head_entity,tail_entity,ungrounded_question,grounded_question,ground_truth,head_sitelinks,tail_sitelinks
painting,Akseli Gallen-Kallela,Lönnrot and the Oral Poets,"When was the painting ""Lönnrot and the Oral Poets"" created?","When was Akseli Gallen-Kallela's painting ""Lönnrot and the Oral Poets"" created?",1895-01-01,51,0
painting,Akseli Gallen-Kallela,Lunch Hour,"When was the painting ""Lunch Hour"" created?","When was Akseli Gallen-Kallela's painting ""Lunch Hour"" created?",1894-01-01,51,0
painting,Akseli Gallen-Kallela,Mäntykoski Waterfall,"When was the painting ""Mäntykoski Waterfall"" created?","When was Akseli Gallen-Kallela's painting ""Mäntykoski Waterfall"" created?",1893-01-01,51,1
painting,Akseli Gallen-Kallela,Marie Gallén at the Kuhmoniemi-bridge,"When was the painting ""Marie Gallén at the Kuhmoniemi-bridge"" created?","When was Akseli Gallen-Kallela's painting ""Marie Gallén at the Kuhmoniemi-bridge"" created?",1890-01-01,51,0
painting,Akseli Gallen-Kallela,Marjatta and Child,"When was the painting ""Marjatta and Child"" created?","When was Akseli Gallen-Kallela's painting ""Marjatta and Child"" created?",1897-01-01,51,0
painting,Akseli Gallen-Kallela,Marjatta and the Christ Child,"When was the painting ""Marjatta and the Christ Child"" created?","When was Akseli Gallen-Kallela's painting ""Marjatta and the Christ Child"" created?",1895-01-01,51,0
painting,Akseli Gallen-Kallela,Mary Gallén sewing in a Karelian house,"When was the painting ""Mary Gallén sewing in a Karelian house"" created?","When was Akseli Gallen-Kallela's painting ""Mary Gallén sewing in a Karelian house"" created?",1890-01-01,51,0
painting,Akseli Gallen-Kallela,Mary Sewing on the Veranda of Kalela,"When was the painting ""Mary Sewing on the Veranda of Kalela"" created?","When was Akseli Gallen-Kallela's painting ""Mary Sewing on the Veranda of Kalela"" created?",1897-01-01,51,0
painting,Akseli Gallen-Kallela,"Mending fishing nets (Sauna Juonas, study for the painting ""The first lesson"")","When was the painting ""Mending fishing nets (Sauna Juonas, study for the painting ""The first lesson"")"" created?","When was Akseli Gallen-Kallela's painting ""Mending fishing nets (Sauna Juonas, study for the painting ""The first lesson"")"" created?",1887-01-01,51,0
painting,Akseli Gallen-Kallela,Midsummer Night,"When was the painting ""Midsummer Night"" created?","When was Akseli Gallen-Kallela's painting ""Midsummer Night"" created?",1889-01-01,51,0
painting,Akseli Gallen-Kallela,Milling by Hand,"When was the painting ""Milling by Hand"" created?","When was Akseli Gallen-Kallela's painting ""Milling by Hand"" created?",1886-01-01,51,0
painting,Akseli Gallen-Kallela,Misty Landscape,"When was the painting ""Misty Landscape"" created?","When was Akseli Gallen-Kallela's painting ""Misty Landscape"" created?",1884-01-01,51,1
painting,Akseli Gallen-Kallela,Model Study,"When was the painting ""Model Study"" created?","When was Akseli Gallen-Kallela's painting ""Model Study"" created?",1885-01-01,51,0
painting,Akseli Gallen-Kallela,Model study (A IV 4220),"When was the painting ""Model study (A IV 4220)"" created?","When was Akseli Gallen-Kallela's painting ""Model study (A IV 4220)"" created?",1880-01-01,51,0
painting,Akseli Gallen-Kallela,Moonlit Landscape,"When was the painting ""Moonlit Landscape"" created?","When was Akseli Gallen-Kallela's painting ""Moonlit Landscape"" created?",1881-01-01,51,0
painting,Akseli Gallen-Kallela,Mother and child,"When was the painting ""Mother and child"" created?","When was Akseli Gallen-Kallela's painting ""Mother and child"" created?",1887-01-01,51,1
painting,Akseli Gallen-Kallela,Mother and Child,"When was the painting ""Mother and Child"" created?","When was Akseli Gallen-Kallela's painting ""Mother and Child"" created?",1907-01-01,51,0
painting,Akseli Gallen-Kallela,Mother with sick child,"When was the painting ""Mother with sick child"" created?","When was Akseli Gallen-Kallela's painting ""Mother with sick child"" created?",1888-01-01,51,1
painting,Akseli Gallen-Kallela,Mt. Donia Sabuk,"When was the painting ""Mt. Donia Sabuk"" created?","When was Akseli Gallen-Kallela's painting ""Mt. Donia Sabuk"" created?",1909-01-01,51,0
painting,Akseli Gallen-Kallela,Mt. Kenya,"When was the painting ""Mt. Kenya"" created?","When was Akseli Gallen-Kallela's painting ""Mt. Kenya"" created?",1910-01-01,51,0
painting,Akseli Gallen-Kallela,"Mt. Kenya 20.V 1910, Mother and Father's 21st Wedding Anniversary","When was the painting ""Mt. Kenya 20.V 1910, Mother and Father's 21st Wedding Anniversary"" created?","When was Akseli Gallen-Kallela's painting ""Mt. Kenya 20.V 1910, Mother and Father's 21st Wedding Anniversary"" created?",1910-01-01,51,0
painting,Akseli Gallen-Kallela,Naked Male Model,"When was the painting ""Naked Male Model"" created?","When was Akseli Gallen-Kallela's painting ""Naked Male Model"" created?",1888-01-01,51,0
painting,Akseli Gallen-Kallela,Nekamia,"When was the painting ""Nekamia"" created?","When was Akseli Gallen-Kallela's painting ""Nekamia"" created?",1909-01-01,51,0
painting,Akseli Gallen-Kallela,"Night lights reflecting off the Danube, Budapest","When was the painting ""Night lights reflecting off the Danube, Budapest"" created?","When was Akseli Gallen-Kallela's painting ""Night lights reflecting off the Danube, Budapest"" created?",1908-01-01,51,0
painting,Akseli Gallen-Kallela,Night scene from Malmi,"When was the painting ""Night scene from Malmi"" created?","When was Akseli Gallen-Kallela's painting ""Night scene from Malmi"" created?",1891-01-01,51,0
painting,Akseli Gallen-Kallela,Nude Models,"When was the painting ""Nude Models"" created?","When was Akseli Gallen-Kallela's painting ""Nude Models"" created?",1880-01-01,51,0
painting,Akseli Gallen-Kallela,Nude Study,"When was the painting ""Nude Study"" created?","When was Akseli Gallen-Kallela's painting ""Nude Study"" created?",1885-01-01,51,0
painting,Akseli Gallen-Kallela,Oceanides,"When was the painting ""Oceanides"" created?","When was Akseli Gallen-Kallela's painting ""Oceanides"" created?",1909-01-01,51,0
painting,Akseli Gallen-Kallela,Old Boat,"When was the painting ""Old Boat"" created?","When was Akseli Gallen-Kallela's painting ""Old Boat"" created?",1924-01-01,51,0
painting,Akseli Gallen-Kallela,Old-growth Forest,"When was the painting ""Old-growth Forest"" created?","When was Akseli Gallen-Kallela's painting ""Old-growth Forest"" created?",1909-01-01,51,0
painting,Akseli Gallen-Kallela,Old Peasant Woman,"When was the painting ""Old Peasant Woman"" created?","When was Akseli Gallen-Kallela's painting ""Old Peasant Woman"" created?",1884-01-01,51,0
painting,Akseli Gallen-Kallela,Old Woman With a Cat,"When was the painting ""Old Woman With a Cat"" created?","When was Akseli Gallen-Kallela's painting ""Old Woman With a Cat"" created?",1885-01-01,51,2
painting,Akseli Gallen-Kallela,Orphan boy,"When was the painting ""Orphan boy"" created?","When was Akseli Gallen-Kallela's painting ""Orphan boy"" created?",1886-01-01,51,0
painting,Akseli Gallen-Kallela,Our Home in Taos,"When was the painting ""Our Home in Taos"" created?","When was Akseli Gallen-Kallela's painting ""Our Home in Taos"" created?",1925-01-01,51,0
painting,Akseli Gallen-Kallela,Outside of Nairobi,"When was the painting ""Outside of Nairobi"" created?","When was Akseli Gallen-Kallela's painting ""Outside of Nairobi"" created?",1910-01-01,51,0
painting,Akseli Gallen-Kallela,Outside the Sauna,"When was the painting ""Outside the Sauna"" created?","When was Akseli Gallen-Kallela's painting ""Outside the Sauna"" created?",1891-01-01,51,0
painting,Akseli Gallen-Kallela,Parisian backyard,"When was the painting ""Parisian backyard"" created?","When was Akseli Gallen-Kallela's painting ""Parisian backyard"" created?",1884-01-01,51,3
painting,Akseli Gallen-Kallela,Parisienne,"When was the painting ""Parisienne"" created?","When was Akseli Gallen-Kallela's painting ""Parisienne"" created?",1888-01-01,51,0
painting,Akseli Gallen-Kallela,Path on the Ice,"When was the painting ""Path on the Ice"" created?","When was Akseli Gallen-Kallela's painting ""Path on the Ice"" created?",1887-01-01,51,1
painting,Akseli Gallen-Kallela,Portrait of Adolf Paul,"When was the painting ""Portrait of Adolf Paul"" created?","When was Akseli Gallen-Kallela's painting ""Portrait of Adolf Paul"" created?",1905-01-01,51,0
painting,Akseli Gallen-Kallela,Portrait of a Karelian Woman,"When was the painting ""Portrait of a Karelian Woman"" created?","When was Akseli Gallen-Kallela's painting ""Portrait of a Karelian Woman"" created?",1891-01-01,51,0
painting,Akseli Gallen-Kallela,Portrait of Carl Gustaf Emil Mannerheim,"When was the painting ""Portrait of Carl Gustaf Emil Mannerheim"" created?","When was Akseli Gallen-Kallela's painting ""Portrait of Carl Gustaf Emil Mannerheim"" created?",1929-01-01,51,0
painting,Akseli Gallen-Kallela,Portrait of Carl Johan Slotte,"When was the painting ""Portrait of Carl Johan Slotte"" created?","When was Akseli Gallen-Kallela's painting ""Portrait of Carl Johan Slotte"" created?",1891-01-01,51,0
painting,Akseli Gallen-Kallela,Portrait of Countess Berthe De Vallombreuse,"When was the painting ""Portrait of Countess Berthe De Vallombreuse"" created?","When was Akseli Gallen-Kallela's painting ""Portrait of Countess Berthe De Vallombreuse"" created?",1889-01-01,51,0
painting,Akseli Gallen-Kallela,Portrait of Doctor E. W. Lybeck,"When was the painting ""Portrait of Doctor E. W. Lybeck"" created?","When was Akseli Gallen-Kallela's painting ""Portrait of Doctor E. W. Lybeck"" created?",1912-01-01,51,0
painting,Akseli Gallen-Kallela,Portrait of Doctor Herman Frithiof Antell,"When was the painting ""Portrait of Doctor Herman Frithiof Antell"" created?","When was Akseli Gallen-Kallela's painting ""Portrait of Doctor Herman Frithiof Antell"" created?",1886-01-01,51,0
painting,Akseli Gallen-Kallela,Portrait of Edvard Munch,"When was the painting ""Portrait of Edvard Munch"" created?","When was Akseli Gallen-Kallela's painting ""Portrait of Edvard Munch"" created?",1895-01-01,51,0
painting,Akseli Gallen-Kallela,Portrait of Eino Leino,"When was the painting ""Portrait of Eino Leino"" created?","When was Akseli Gallen-Kallela's painting ""Portrait of Eino Leino"" created?",1917-01-01,51,0
painting,Akseli Gallen-Kallela,Portrait of Eric O. W. Ehrström,"When was the painting ""Portrait of Eric O. W. Ehrström"" created?","When was Akseli Gallen-Kallela's painting ""Portrait of Eric O. W. Ehrström"" created?",1919-01-01,51,0
painting,Akseli Gallen-Kallela,Portrait of Greta Ahlman,"When was the painting ""Portrait of Greta Ahlman"" created?","When was Akseli Gallen-Kallela's painting ""Portrait of Greta Ahlman"" created?",1898-01-01,51,0
painting,Akseli Gallen-Kallela,Portrait of Gustaf Adolf Serlachius,"When was the painting ""Portrait of Gustaf Adolf Serlachius"" created?","When was Akseli Gallen-Kallela's painting ""Portrait of Gustaf Adolf Serlachius"" created?",1887-01-01,51,0
painting,Akseli Gallen-Kallela,Portrait of Kaius Jorma Gallén,"When was the painting ""Portrait of Kaius Jorma Gallén"" created?","When was Akseli Gallen-Kallela's painting ""Portrait of Kaius Jorma Gallén"" created?",1904-01-01,51,0
painting,Akseli Gallen-Kallela,Portrait of Mary,"When was the painting ""Portrait of Mary"" created?","When was Akseli Gallen-Kallela's painting ""Portrait of Mary"" created?",1917-01-01,51,0
painting,Akseli Gallen-Kallela,"Portrait of Mary Slöör, the artist's fiancée","When was the painting ""Portrait of Mary Slöör, the artist's fiancée"" created?","When was Akseli Gallen-Kallela's painting ""Portrait of Mary Slöör, the artist's fiancée"" created?",1887-01-01,51,0
painting,Akseli Gallen-Kallela,Portrait of Matti Äyräpää,"When was the painting ""Portrait of Matti Äyräpää"" created?","When was Akseli Gallen-Kallela's painting ""Portrait of Matti Äyräpää"" created?",1911-01-01,51,0
painting,Akseli Gallen-Kallela,Portrait of Nils Forsberg,"When was the painting ""Portrait of Nils Forsberg"" created?","When was Akseli Gallen-Kallela's painting ""Portrait of Nils Forsberg"" created?",1889-01-01,51,0
painting,Akseli Gallen-Kallela,Portrait of Phyllis Sjöström,"When was the painting ""Portrait of Phyllis Sjöström"" created?","When was Akseli Gallen-Kallela's painting ""Portrait of Phyllis Sjöström"" created?",1914-01-01,51,0
painting,Akseli Gallen-Kallela,Portrait of Professor E.N.Setälä,"When was the painting ""Portrait of Professor E.N.Setälä"" created?","When was Akseli Gallen-Kallela's painting ""Portrait of Professor E.N.Setälä"" created?",1911-01-01,51,0
painting,Akseli Gallen-Kallela,Portrait of Sigurd Wettenhovi-Aspa,"When was the painting ""Portrait of Sigurd Wettenhovi-Aspa"" created?","When was Akseli Gallen-Kallela's painting ""Portrait of Sigurd Wettenhovi-Aspa"" created?",1919-01-01,51,0
painting,Akseli Gallen-Kallela,Portrait of Sissi Serlachius,"When was the painting ""Portrait of Sissi Serlachius"" created?","When was Akseli Gallen-Kallela's painting ""Portrait of Sissi Serlachius"" created?",1889-01-01,51,0
painting,Akseli Gallen-Kallela,Portrait of the Actress Ida Aalberg,"When was the painting ""Portrait of the Actress Ida Aalberg"" created?","When was Akseli Gallen-Kallela's painting ""Portrait of the Actress Ida Aalberg"" created?",1893-01-01,51,0
painting,Akseli Gallen-Kallela,Portrait of the Artist's Wife,"When was the painting ""Portrait of the Artist's Wife"" created?","When was Akseli Gallen-Kallela's painting ""Portrait of the Artist's Wife"" created?",1893-01-01,51,0
painting,Akseli Gallen-Kallela,Portrait of the Composer Gustav Mahler,"When was the painting ""Portrait of the Composer Gustav Mahler"" created?","When was Akseli Gallen-Kallela's painting ""Portrait of the Composer Gustav Mahler"" created?",1907-01-01,51,0
painting,Akseli Gallen-Kallela,Portrait of the German Actor Rudolf Rittner,"When was the painting ""Portrait of the German Actor Rudolf Rittner"" created?","When was Akseli Gallen-Kallela's painting ""Portrait of the German Actor Rudolf Rittner"" created?",1895-01-01,51,0
painting,Akseli Gallen-Kallela,Portrait of Theodor Eck,"When was the painting ""Portrait of Theodor Eck"" created?","When was Akseli Gallen-Kallela's painting ""Portrait of Theodor Eck"" created?",1896-01-01,51,0
painting,Akseli Gallen-Kallela,Prof. E. R. Neovius Portrait,"When was the painting ""Prof. E. R. Neovius Portrait"" created?","When was Akseli Gallen-Kallela's painting ""Prof. E. R. Neovius Portrait"" created?",1898-01-01,51,0
painting,Akseli Gallen-Kallela,Rain Clouds over a Lake Landscape,"When was the painting ""Rain Clouds over a Lake Landscape"" created?","When was Akseli Gallen-Kallela's painting ""Rain Clouds over a Lake Landscape"" created?",1883-01-01,51,0
painting,Akseli Gallen-Kallela,Rapids of the Masioya River,"When was the painting ""Rapids of the Masioya River"" created?","When was Akseli Gallen-Kallela's painting ""Rapids of the Masioya River"" created?",1910-01-01,51,0
painting,Akseli Gallen-Kallela,Rauma Church,"When was the painting ""Rauma Church"" created?","When was Akseli Gallen-Kallela's painting ""Rauma Church"" created?",1905-01-01,51,0
painting,Akseli Gallen-Kallela,"Red Sea, Suez","When was the painting ""Red Sea, Suez"" created?","When was Akseli Gallen-Kallela's painting ""Red Sea, Suez"" created?",1909-01-01,51,0
painting,Akseli Gallen-Kallela,Reflections,"When was the painting ""Reflections"" created?","When was Akseli Gallen-Kallela's painting ""Reflections"" created?",1902-01-01,51,0
painting,Akseli Gallen-Kallela,Regent Mannerheim's batman Gustaf Hagenau,"When was the painting ""Regent Mannerheim's batman Gustaf Hagenau"" created?","When was Akseli Gallen-Kallela's painting ""Regent Mannerheim's batman Gustaf Hagenau"" created?",1919-01-01,51,0
painting,Akseli Gallen-Kallela,Regretful Kullervo,"When was the painting ""Regretful Kullervo"" created?","When was Akseli Gallen-Kallela's painting ""Regretful Kullervo"" created?",1918-01-01,51,0
painting,Akseli Gallen-Kallela,Rhinoceros and Euphorbia trees,"When was the painting ""Rhinoceros and Euphorbia trees"" created?","When was Akseli Gallen-Kallela's painting ""Rhinoceros and Euphorbia trees"" created?",1910-01-01,51,0
painting,Akseli Gallen-Kallela,River of the Dead,"When was the painting ""River of the Dead"" created?","When was Akseli Gallen-Kallela's painting ""River of the Dead"" created?",1893-01-01,51,0
painting,Akseli Gallen-Kallela,River Valley,"When was the painting ""River Valley"" created?","When was Akseli Gallen-Kallela's painting ""River Valley"" created?",1909-01-01,51,0
painting,Akseli Gallen-Kallela,"Robert Kajanus Conducting, sketch","When was the painting ""Robert Kajanus Conducting, sketch"" created?","When was Akseli Gallen-Kallela's painting ""Robert Kajanus Conducting, sketch"" created?",1893-01-01,51,0
painting,Akseli Gallen-Kallela,Romani man,"When was the painting ""Romani man"" created?","When was Akseli Gallen-Kallela's painting ""Romani man"" created?",1883-01-01,51,0
painting,Akseli Gallen-Kallela,Rower on the Lake,"When was the painting ""Rower on the Lake"" created?","When was Akseli Gallen-Kallela's painting ""Rower on the Lake"" created?",1916-01-01,51,0
painting,Akseli Gallen-Kallela,Rowing to the Shore,"When was the painting ""Rowing to the Shore"" created?","When was Akseli Gallen-Kallela's painting ""Rowing to the Shore"" created?",1891-01-01,51,0
painting,Akseli Gallen-Kallela,Rustic life,"When was the painting ""Rustic life"" created?","When was Akseli Gallen-Kallela's painting ""Rustic life"" created?",1887-01-01,51,1
painting,Akseli Gallen-Kallela,Sand Bank,"When was the painting ""Sand Bank"" created?","When was Akseli Gallen-Kallela's painting ""Sand Bank"" created?",1882-01-01,51,0
painting,Akseli Gallen-Kallela,Sauna Girl,"When was the painting ""Sauna Girl"" created?","When was Akseli Gallen-Kallela's painting ""Sauna Girl"" created?",1904-01-01,51,0
painting,Akseli Gallen-Kallela,Sauna interior,"When was the painting ""Sauna interior"" created?","When was Akseli Gallen-Kallela's painting ""Sauna interior"" created?",1928-01-01,51,0
painting,Akseli Gallen-Kallela,Sauna-Juonas at Ekola,"When was the painting ""Sauna-Juonas at Ekola"" created?","When was Akseli Gallen-Kallela's painting ""Sauna-Juonas at Ekola"" created?",1887-01-01,51,0
painting,Akseli Gallen-Kallela,Self-Portrait at the Easel,"When was the painting ""Self-Portrait at the Easel"" created?","When was Akseli Gallen-Kallela's painting ""Self-Portrait at the Easel"" created?",1885-01-01,51,0
painting,Akseli Gallen-Kallela,Self-Portrait for the Uffizi Gallery,"When was the painting ""Self-Portrait for the Uffizi Gallery"" created?","When was Akseli Gallen-Kallela's painting ""Self-Portrait for the Uffizi Gallery"" created?",1916-01-01,51,0
painting,Akseli Gallen-Kallela,Self-Portrait in Fresco,"When was the painting ""Self-Portrait in Fresco"" created?","When was Akseli Gallen-Kallela's painting ""Self-Portrait in Fresco"" created?",1894-01-01,51,0
painting,Akseli Gallen-Kallela,Sharks in the Indian Ocean,"When was the painting ""Sharks in the Indian Ocean"" created?","When was Akseli Gallen-Kallela's painting ""Sharks in the Indian Ocean"" created?",1909-01-01,51,0
painting,Akseli Gallen-Kallela,Shed in the Taos Mountains,"When was the painting ""Shed in the Taos Mountains"" created?","When was Akseli Gallen-Kallela's painting ""Shed in the Taos Mountains"" created?",1925-01-01,51,0
painting,Akseli Gallen-Kallela,Shepherd Boy from Paanajärvi,"When was the painting ""Shepherd Boy from Paanajärvi"" created?","When was Akseli Gallen-Kallela's painting ""Shepherd Boy from Paanajärvi"" created?",1892-01-01,51,0
painting,Akseli Gallen-Kallela,Signal fires,"When was the painting ""Signal fires"" created?","When was Akseli Gallen-Kallela's painting ""Signal fires"" created?",1914-01-01,51,0
painting,Akseli Gallen-Kallela,"Sitting in Front of the Stove, a Variable Interior","When was the painting ""Sitting in Front of the Stove, a Variable Interior"" created?","When was Akseli Gallen-Kallela's painting ""Sitting in Front of the Stove, a Variable Interior"" created?",1887-01-01,51,0
painting,Akseli Gallen-Kallela,Skaters near the Shore of Kalela,"When was the painting ""Skaters near the Shore of Kalela"" created?","When was Akseli Gallen-Kallela's painting ""Skaters near the Shore of Kalela"" created?",1896-01-01,51,0
painting,Akseli Gallen-Kallela,Skeleton of a Camel,"When was the painting ""Skeleton of a Camel"" created?","When was Akseli Gallen-Kallela's painting ""Skeleton of a Camel"" created?",1909-01-01,51,0
painting,Akseli Gallen-Kallela,Skinning A Hippopotamus,"When was the painting ""Skinning A Hippopotamus"" created?","When was Akseli Gallen-Kallela's painting ""Skinning A Hippopotamus"" created?",1909-01-01,51,0
painting,Akseli Gallen-Kallela,Snowscape,"When was the painting ""Snowscape"" created?","When was Akseli Gallen-Kallela's painting ""Snowscape"" created?",1900-01-01,51,0
painting,Akseli Gallen-Kallela,Snowy Courtyard,"When was the painting ""Snowy Courtyard"" created?","When was Akseli Gallen-Kallela's painting ""Snowy Courtyard"" created?",1882-01-01,51,0
painting,Akseli Gallen-Kallela,Snowy landscape,"When was the painting ""Snowy landscape"" created?","When was Akseli Gallen-Kallela's painting ""Snowy landscape"" created?",1908-01-01,51,0
painting,Akseli Gallen-Kallela,Spring,"When was the painting ""Spring"" created?","When was Akseli Gallen-Kallela's painting ""Spring"" created?",1900-01-01,51,0
painting,Akseli Gallen-Kallela,Spring Night,"When was the painting ""Spring Night"" created?","When was Akseli Gallen-Kallela's painting ""Spring Night"" created?",1914-01-01,51,0
painting,Akseli Gallen-Kallela,"Spring (Portrait of Anna Slöör, study for the Sigrid Juselius mausoleum)","When was the painting ""Spring (Portrait of Anna Slöör, study for the Sigrid Juselius mausoleum)"" created?","When was Akseli Gallen-Kallela's painting ""Spring (Portrait of Anna Slöör, study for the Sigrid Juselius mausoleum)"" created?",1903-01-01,51,0
painting,Akseli Gallen-Kallela,"Spring, study for the Jusélius Mausoleum frescos","When was the painting ""Spring, study for the Jusélius Mausoleum frescos"" created?","When was Akseli Gallen-Kallela's painting ""Spring, study for the Jusélius Mausoleum frescos"" created?",1903-01-01,51,0
painting,Akseli Gallen-Kallela,Spring sun at Konginkangas,"When was the painting ""Spring sun at Konginkangas"" created?","When was Akseli Gallen-Kallela's painting ""Spring sun at Konginkangas"" created?",1906-01-01,51,0
painting,Akseli Gallen-Kallela,Spruces in a Farmyard,"When was the painting ""Spruces in a Farmyard"" created?","When was Akseli Gallen-Kallela's painting ""Spruces in a Farmyard"" created?",1887-01-01,51,0
painting,Akseli Gallen-Kallela,Steamboats,"When was the painting ""Steamboats"" created?","When was Akseli Gallen-Kallela's painting ""Steamboats"" created?",1891-01-01,51,0
painting,Akseli Gallen-Kallela,Study for “Problem (Symposium)”,"When was the painting ""Study for “Problem (Symposium)”"" created?","When was Akseli Gallen-Kallela's painting ""Study for “Problem (Symposium)”"" created?",1894-01-01,51,0
painting,Akseli Gallen-Kallela,Study for the fresco Ilmarinen ploughing the Viper-field,"When was the painting ""Study for the fresco Ilmarinen ploughing the Viper-field"" created?","When was Akseli Gallen-Kallela's painting ""Study for the fresco Ilmarinen ploughing the Viper-field"" created?",1900-01-01,51,0
painting,Akseli Gallen-Kallela,Suez Canal Beach,"When was the painting ""Suez Canal Beach"" created?","When was Akseli Gallen-Kallela's painting ""Suez Canal Beach"" created?",1909-01-01,51,0
painting,Akseli Gallen-Kallela,Sunflower at the Nairobi Savannah,"When was the painting ""Sunflower at the Nairobi Savannah"" created?","When was Akseli Gallen-Kallela's painting ""Sunflower at the Nairobi Savannah"" created?",1909-01-01,51,0
painting,Akseli Gallen-Kallela,Sunset,"When was the painting ""Sunset"" created?","When was Akseli Gallen-Kallela's painting ""Sunset"" created?",1899-01-01,51,0
painting,Akseli Gallen-Kallela,Sunset at Visuvesi,"When was the painting ""Sunset at Visuvesi"" created?","When was Akseli Gallen-Kallela's painting ""Sunset at Visuvesi"" created?",1891-01-01,51,0
painting,Akseli Gallen-Kallela,Sunset on the Savannah,"When was the painting ""Sunset on the Savannah"" created?","When was Akseli Gallen-Kallela's painting ""Sunset on the Savannah"" created?",1909-01-01,51,0
painting,Akseli Gallen-Kallela,Sunshine on Snow,"When was the painting ""Sunshine on Snow"" created?","When was Akseli Gallen-Kallela's painting ""Sunshine on Snow"" created?",1906-01-01,51,0
painting,Akseli Gallen-Kallela,Symposion (study),"When was the painting ""Symposion (study)"" created?","When was Akseli Gallen-Kallela's painting ""Symposion (study)"" created?",1894-01-01,51,0
painting,Akseli Gallen-Kallela,Symposium,"When was the painting ""Symposium"" created?","When was Akseli Gallen-Kallela's painting ""Symposium"" created?",1894-01-01,51,2
painting,Akseli Gallen-Kallela,Tana River,"When was the painting ""Tana River"" created?","When was Akseli Gallen-Kallela's painting ""Tana River"" created?",1909-01-01,51,0
painting,Akseli Gallen-Kallela,Taos,"When was the painting ""Taos"" created?","When was Akseli Gallen-Kallela's painting ""Taos"" created?",1925-01-01,51,0
painting,Akseli Gallen-Kallela,Taos Home in Moonlight,"When was the painting ""Taos Home in Moonlight"" created?","When was Akseli Gallen-Kallela's painting ""Taos Home in Moonlight"" created?",1925-01-01,51,0
painting,Akseli Gallen-Kallela,Taos Home in Sunlight,"When was the painting ""Taos Home in Sunlight"" created?","When was Akseli Gallen-Kallela's painting ""Taos Home in Sunlight"" created?",1925-01-01,51,0
painting,Akseli Gallen-Kallela,Taos Mountains Shrouded in Clouds,"When was the painting ""Taos Mountains Shrouded in Clouds"" created?","When was Akseli Gallen-Kallela's painting ""Taos Mountains Shrouded in Clouds"" created?",1924-01-01,51,0
painting,Akseli Gallen-Kallela,"Taos, New Mexico Under Snow","When was the painting ""Taos, New Mexico Under Snow"" created?","When was Akseli Gallen-Kallela's painting ""Taos, New Mexico Under Snow"" created?",1925-01-01,51,0
painting,Akseli Gallen-Kallela,The abduction of Sampo,"When was the painting ""The abduction of Sampo"" created?","When was Akseli Gallen-Kallela's painting ""The abduction of Sampo"" created?",1905-01-01,51,0
painting,Akseli Gallen-Kallela,The Artist's Mother,"When was the painting ""The Artist's Mother"" created?","When was Akseli Gallen-Kallela's painting ""The Artist's Mother"" created?",1896-01-01,51,1
painting,Akseli Gallen-Kallela,The Beggar Boy,"When was the painting ""The Beggar Boy"" created?","When was Akseli Gallen-Kallela's painting ""The Beggar Boy"" created?",1887-01-01,51,0
painting,Akseli Gallen-Kallela,The Building,"When was the painting ""The Building"" created?","When was Akseli Gallen-Kallela's painting ""The Building"" created?",1906-01-01,51,0
painting,Akseli Gallen-Kallela,The Clandestine Birth,"When was the painting ""The Clandestine Birth"" created?","When was Akseli Gallen-Kallela's painting ""The Clandestine Birth"" created?",1885-01-01,51,0
painting,Akseli Gallen-Kallela,"The Complete Kalevala, sketch. Väinämöinen singing.","When was the painting ""The Complete Kalevala, sketch. Väinämöinen singing."" created?","When was Akseli Gallen-Kallela's painting ""The Complete Kalevala, sketch. Väinämöinen singing."" created?",1925-01-01,51,0
painting,Akseli Gallen-Kallela,The construction of the Tarvaspää atelier,"When was the painting ""The construction of the Tarvaspää atelier"" created?","When was Akseli Gallen-Kallela's painting ""The construction of the Tarvaspää atelier"" created?",1912-01-01,51,0
painting,Akseli Gallen-Kallela,"The defence of the Sampo, Sketch for the cupola frescos of the Finnish Pavilion in Paris","When was the painting ""The defence of the Sampo, Sketch for the cupola frescos of the Finnish Pavilion in Paris"" created?","When was Akseli Gallen-Kallela's painting ""The defence of the Sampo, Sketch for the cupola frescos of the Finnish Pavilion in Paris"" created?",1899-01-01,51,0
painting,Akseli Gallen-Kallela,"The defence of the Sampo, Sketch for the cupola frescos of the Finnish Pavilion in Paris 1900","When was the painting ""The defence of the Sampo, Sketch for the cupola frescos of the Finnish Pavilion in Paris 1900"" created?","When was Akseli Gallen-Kallela's painting ""The defence of the Sampo, Sketch for the cupola frescos of the Finnish Pavilion in Paris 1900"" created?",1899-01-01,51,0
painting,Akseli Gallen-Kallela,The Defense of the Sampo,"When was the painting ""The Defense of the Sampo"" created?","When was Akseli Gallen-Kallela's painting ""The Defense of the Sampo"" created?",1896-01-01,51,7
painting,Akseli Gallen-Kallela,The Departure of Väinämöinen,"When was the painting ""The Departure of Väinämöinen"" created?","When was Akseli Gallen-Kallela's painting ""The Departure of Väinämöinen"" created?",1894-01-01,51,0
painting,Akseli Gallen-Kallela,The Departure of Väinämöinen (1906),"When was the painting ""The Departure of Väinämöinen (1906)"" created?","When was Akseli Gallen-Kallela's painting ""The Departure of Väinämöinen (1906)"" created?",1906-01-01,51,2
painting,Akseli Gallen-Kallela,The Ekola Croft in Evening Sunlight,"When was the painting ""The Ekola Croft in Evening Sunlight"" created?","When was Akseli Gallen-Kallela's painting ""The Ekola Croft in Evening Sunlight"" created?",1889-01-01,51,0
